"date","value","volume"
"2021-05-13","11090","3364"
"2021-05-14","11070","11192"
"2021-05-17","10960","7982"
"2021-05-18","11030","5797"
"2021-05-19","10750","9714"
"2021-05-20","10510","20852"
"2021-05-21","10630","4640"
"2021-05-24","10760","15808"
"2021-05-25","10790","6882"
"2021-05-27","10590","12221"
"2021-05-28","11000","14619"
"2021-05-31","10930","17863"
"2021-06-02","10370","9086"
"2021-06-03","10490","6060"
"2021-06-04","10430","17482"
"2021-06-07","10440","26305"
"2021-06-08","10190","15664"
"2021-06-10","10110","12454"
"2021-06-11","9995","3086"
"2021-06-14","9885","27627"
"2021-06-15","9890","7600"
"2021-06-16","9590","13015"
"2021-06-17","9375","11480"
"2021-06-18","9195","17576"
"2021-06-21","9335","20580"
"2021-06-22","9305","9580"
"2021-06-23","8875","9711"
"2021-06-24","8955","8397"
"2021-06-25","8880","6657"
"2021-06-28","8945","14661"
"2021-06-29","9220","7884"
"2021-06-30","9385","28079"
"2021-07-01","9450","2525"
"2021-07-02","9270","557"
"2021-07-05","9185","3889"
"2021-07-06","9090","4237"
"2021-07-07","9080","18185"
"2021-07-08","8935","12417"
"2021-07-09","8465","10061"
"2021-07-19","8195","11063"
"2021-07-20","8210","16901"
"2021-07-21","8125","18114"
"2021-07-22","8015","17205"
"2021-07-23","7935","10743"
"2021-07-24","8000","11369"
"2021-07-26","7895","33699"
"2021-07-27","7870","35461"
"2021-07-28","7700","20007"
"2021-07-29","7540","19408"
"2021-07-30","7460","27398"
"2021-08-02","7445","13300"
"2021-08-03","7460","9016"
"2021-08-04","7330","6016"
"2021-08-05","7255","8437"
"2021-08-06","7180","8224"
"2021-08-09","7115","22334"
"2021-08-10","6995","13412"
"2021-08-11","6985","9551"
"2021-08-12","6950","4372"
"2021-08-13","6905","7957"
"2021-08-16","6930","2301"
"2021-08-17","6915","1702"
"2021-08-18","6875","5360"
"2021-08-19","6900","2007"
"2021-08-20","6940","2767"
"2021-08-23","7180","7100"
"2021-08-24","8175","8120"
"2021-08-25","9400","6276"
"2021-08-26","10640","23404"
"2021-08-27","10990","40665"
"2021-08-30","11920","16446"
"2021-08-31","11460","18589"
"2021-09-01","11930","55778"
"2021-09-02","11820","38688"
"2021-09-03","11990","8548"
"2021-09-06","12030","13218"
"2021-09-07","12110","11108"
"2021-09-08","12040","32799"
"2021-09-09","11820","19379"
"2021-09-10","11390","17386"
"2021-09-13","10900","149626"
"2021-09-14","10840","150243"
"2021-09-15","10690","149849"
"2021-09-16","10500","25886"
"2021-09-17","11390","57887"
"2021-09-20","11040","2362"
"2021-09-21","10950","17244"
"2021-09-22","10790","1889"
"2021-09-23","10850","10527"
"2021-09-24","10880","1685"
"2021-09-27","10710","2648"
"2021-09-28","10700","12887"
"2021-09-29","10770","3944"
"2021-09-30","10800","4391"
"2021-10-01","10680","5537"
"2021-10-04","10590","2878"
"2021-10-05","10230","4029"
"2021-10-06","9885","3702"
"2021-10-07","10070","18149"
"2021-10-08","9990","5875"
"2021-10-11","9960","4124"
"2021-10-12","9965","3098"
"2021-10-13","9885","2185"
"2021-10-14","9750","2461"
"2021-10-15","9700","6615"
"2021-10-18","9490","15502"
"2021-10-19","9375","4800"
"2021-10-20","9250","3128"
"2021-10-21","9415","4160"
"2021-10-22","9490","2622"
"2021-10-25","9610","3384"
"2021-10-26","9530","2673"
"2021-10-27","9525","3082"
"2021-10-28","9495","1477"
"2021-10-29","9325","4665"
"2021-11-01","9000","7209"
"2021-11-02","9170","9259"
"2021-11-03","9000","36888"
"2021-11-04","9000","50892"
"2021-11-08","9295","46673"
"2021-11-09","9165","8887"
"2021-11-10","8870","7715"
"2021-11-11","9145","3252"
"2021-11-12","9995","7739"
"2021-11-15","9870","4382"
"2021-11-16","9960","3641"
"2021-11-17","9725","4035"
"2021-11-18","9810","1167"
"2021-11-19","9680","3516"
"2021-11-22","9690","2109"
"2021-11-23","9555","2447"
"2021-11-24","9500","908"
"2021-11-25","9520","1397"
"2021-11-29","9430","3028"
"2021-11-30","9295","7169"
"2021-12-01","9215","2468"
"2021-12-02","9175","34474"
"2021-12-03","9180","7823"
"2021-12-06","9140","9954"
