"date","value","volume"
"2025-10-13","1100","8681"
"2025-10-14","1094","12919"
"2025-10-15","1080","27347"
"2025-10-16","1089","8421"
"2025-10-17","1073","19139"
"2025-10-20","1063","29704"
"2025-10-21","1059","64572"
"2025-10-22","1063","4152"
"2025-10-23","1064","8556"
"2025-10-24","1069","6149"
"2025-10-27","1075","3622"
"2025-10-28","1099","15394"
"2025-10-29","1105","24125"
"2025-10-30","1103","6407"
"2025-10-31","1100","14074"
"2025-11-03","1104","2441"
"2025-11-04","1103","9973"
"2025-11-05","1103","34552"
"2025-11-06","1106","10209"
"2025-11-07","1074","48470"
"2025-11-10","1101","6742"
"2025-11-11","1111","20116"
"2025-11-12","1107","79164"
"2025-11-13","1122","69149"
"2025-11-14","1110","101149"
"2025-11-17","1125","5395"
"2025-11-18","1135","56651"
"2025-11-19","1125","36661"
"2025-11-20","1120","51250"
"2025-11-24","1126","10307"
